venues,total_volume
uniswap-3,3.267113684547909e+11
curve-Regular,5.3845502600433426e+10
dodo-1,2.7306156108345108e+10
balancer-2,1.471914593645788e+10
pancakeswap-3,1.325189007725281e+10
pancakeswap-2,1.305397758997691e+10
maverick-1,8.175952684699602e+09
dodo-2_dsp,7.8960058043521185e+09
uniswap-2,5.79495601496922e+09
quickswap-3,4.947571620782668e+09
0x API-v4,3.7501014287051926e+09
dodo-2_dpp,3.117754794270594e+09
kyberswap-elastic,2.976496363316145e+09
sushiswap-1,2.5588713076572967e+09
wombat-1,2.5229202917305956e+09
pancakeswap-stableswap,2.180513891327069e+09
biswap-2,1.4723384165395725e+09
trader_joe-2,1.2104423720108914e+09
trader_joe-2.1,1.1551659737972214e+09
airswap-swap_v3,8.683771793339629e+08
thena-1,8.100116081579022e+08
integral-size,7.531560655866725e+08
kyberswap-dmm,7.205486918546661e+08
velodrome-1,7.121582771433009e+08
camelot-1,6.815896361773012e+08
hashflow-1,5.872157941628278e+08
gmx-1,5.643476897867806e+08
thena-fusion,5.1937051094534487e+08
curve-1,4.984810995520228e+08
quickswap-2,4.182724893374508e+08
curve-Factory V1 Meta,4.10946057175284e+08
curve-Factory V2 updated,3.077836153537757e+08
clipper-3,2.0051737877423427e+08
mdex-1,1.951351533425077e+08
beethoven_x-1,1.6245170979102275e+08
zigzag-1,1.5057963303988957e+08
clipper-4,1.4688546576632577e+08
biswap-3,1.392885841054641e+08
pancakeswap-mmpool,1.1531577660116097e+08
shibaswap-1,1.1523800969398043e+08
woofi-1,1.055606303391074e+08
iziswap-1,1.0018480097534104e+08
apeswap-1,8.329345892501551e+07
curve-2,8.224657649897814e+07
airswap-swap_erc20_v4,7.547575737192933e+07
velodrome-2,7.432553416899991e+07
mstable-masset,6.566507733174377e+07
ellipsis_finance-1,6.2588280878512904e+07
defiswap-1,6.152279224146168e+07
babyswap-1,5.771099536814122e+07
rubicon-1,5.744461201052022e+07
clipper-2,5.579707958446036e+07
kyberswap-classic,3.745070561289426e+07
spartacus_exchange-1,3.463220879206584e+07
arbswap-1,3.4584638395305976e+07
spookyswap-1,2.870610053431486e+07
sushiswap-trident-cpp,2.409076934932395e+07
verse_dex-1,1.6800590367137566e+07
platypus_finance-1,1.6017119443110852e+07
clipper-1,1.5280352715698214e+07
bancor-3,1.3560384149305834e+07
sushiswap-trident-sp,1.2177718033555493e+07
balancer-1,7.705486512853304e+06
trader_joe-1,7.577018230313404e+06
uniswap-1,5.686791710336853e+06
woofi-2,4.453185145125199e+06
swapr-1,4.0262795921874167e+06
airswap-swap,3.9350803073883913e+06
spiritswap-1,3.8047495897488957e+06
xchange-1,3.5524859048221214e+06
opx_finance-1,1.9820096860245955e+06
zipswap-1,1.3525028934043183e+06
carbon_defi-1,1.301932716198913e+06
aerodrome-1,885869.487932572
wigoswap-1,694015.5230846815
mstable-feederpool,647727.8621149135
honeyswap-2,278670.45420625777
openxswap-1,69015.73011399638
dodo-2_dvm,22155.482454452384
onepunchswap-quick,15395.06135980378
mauve-1,8456.50573040785
bancor-1,80.09639999999999
onepunchswap-normal,40.979979922435305
