blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2ea1811,0xf13fdf72ff14f1b696c19d81a101362249b295f03e9619660ccca0c218065394:log:2743,0xf13fdf72ff14f1b696c19d81a101362249b295f03e9619660ccca0c218065394,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.043697,USDT,erc20
0x2ec1395,0xae051996b38134c7cc1f1be517bbdb71e7bb8c28d6a1ac286acae52e2d7b4261:log:365,0xae051996b38134c7cc1f1be517bbdb71e7bb8c28d6a1ac286acae52e2d7b4261,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.267235,USDT,erc20
0x2ec3c5b,0x242d36b4340a9caebcb49cd8a183e922c3f5fc76cb70f62ab9fbdf206f2561b0:log:217,0x242d36b4340a9caebcb49cd8a183e922c3f5fc76cb70f62ab9fbdf206f2561b0,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.158587,USDT,erc20
0x2ec5904,0xed8f0b9ca7ad241d5bc32d1c0a09a3307366af7c01850881ef9dcab1fb20657c:log:612,0xed8f0b9ca7ad241d5bc32d1c0a09a3307366af7c01850881ef9dcab1fb20657c,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.0001146846,WETH,erc20
0x2ec9913,0xf9234ddd1c4f7ec6f3ad3a6803b4b202e93c43a117ae7a2a4524910ebc18b052:log:176,0xf9234ddd1c4f7ec6f3ad3a6803b4b202e93c43a117ae7a2a4524910ebc18b052,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.06901,USDT,erc20
0x2ecc88f,0x0652c6a0e54fd14cf76fc23ba60f70e5d8d0f6a959e8e124ca5d04fae3aec310:log:155,0x0652c6a0e54fd14cf76fc23ba60f70e5d8d0f6a959e8e124ca5d04fae3aec310,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.575882,USDT,erc20
0x2eed17c,0x1275969e68efc86c7e82218d17ebb49fefd4af1c96978c03575bec40d45b5a8d:log:176,0x1275969e68efc86c7e82218d17ebb49fefd4af1c96978c03575bec40d45b5a8d,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.044359,USDT,erc20
0x2eef99b,0x76fb6e46143e8a727dab74c0766e66c3b03a57fb216fa43548a791c2a0f8e29f:log:232,0x76fb6e46143e8a727dab74c0766e66c3b03a57fb216fa43548a791c2a0f8e29f,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2.688292,USDT,erc20
0x2f2a204,0x48975467d0281c124b89d76b11e28a184ebd53c7cbfe10a00256806bc96b383f:log:651,0x48975467d0281c124b89d76b11e28a184ebd53c7cbfe10a00256806bc96b383f,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.829535,USDC,erc20
0x2f2c1a2,0xaf440a7466ef1cd1acc4aca14923770d94b8a1fabf8297015a9468b1981729ea:log:289,0xaf440a7466ef1cd1acc4aca14923770d94b8a1fabf8297015a9468b1981729ea,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.802153,USDT,erc20
0x2f309dc,0x5237b62bf88f8f743cfc5e2acc3f0cec38bf7c8e78121967d0ea0a99dbbdd847:log:289,0x5237b62bf88f8f743cfc5e2acc3f0cec38bf7c8e78121967d0ea0a99dbbdd847,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.03047,USDT,erc20
