blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2fd2c60,0xb35912169a55dc183720f6a4ec3b3a1d08deba771f303df485e6e2ae70bf6d26:log:828,0xb35912169a55dc183720f6a4ec3b3a1d08deba771f303df485e6e2ae70bf6d26,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4E-7,WBTC,erc20
0x2fd2fde,0x1dbb1ddf619de021a4847cce14b5145c8dd5d70dd9baf5663bac4dcf26b1ecbc:log:605,0x1dbb1ddf619de021a4847cce14b5145c8dd5d70dd9baf5663bac4dcf26b1ecbc,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4E-7,WBTC,erc20
0x2fd3390,0x6aff39c48f7ca5dd05f51cded43108ed1ac5c6253025544b53d12ff8344ba44b:log:70,0x6aff39c48f7ca5dd05f51cded43108ed1ac5c6253025544b53d12ff8344ba44b,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4E-7,WBTC,erc20
0x2fd3f52,0x805ff95d4116c58d11dad127e5903e57fa252893e7281eb9f19603ff0a6f348f:log:3233,0x805ff95d4116c58d11dad127e5903e57fa252893e7281eb9f19603ff0a6f348f,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2.3E-7,WBTC,erc20
0x2fd45fd,0x73ebb6fa1708052f0d43e2fc593cea6f82beb63dd00886c1ec8f721fbcc70e7e:log:167,0x73ebb6fa1708052f0d43e2fc593cea6f82beb63dd00886c1ec8f721fbcc70e7e,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1E-8,WBTC,erc20
0x2fd46d5,0x3b49631c50a94fde29c2129f69004449383daeab155f85380acffb0a8ee79e0e:log:331,0x3b49631c50a94fde29c2129f69004449383daeab155f85380acffb0a8ee79e0e,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000383,WBTC,erc20
0x2fd525a,0x9a18d6a8eef8aacfc4d4f0ed37661fc0f59c0f4541bee269e39bc56c40143825:log:495,0x9a18d6a8eef8aacfc4d4f0ed37661fc0f59c0f4541bee269e39bc56c40143825,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2E-7,WBTC,erc20
0x2fd6ce4,0xa8a8095a0c15f49075632f850758b41c048c52fa59b79f410e0f1454572f39aa:log:605,0xa8a8095a0c15f49075632f850758b41c048c52fa59b79f410e0f1454572f39aa,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1E-7,WBTC,erc20
0x2fd7b5c,0x92eae74e366920208608fd9e881500d310495b61dbc4f3d0c51a13bbfd25dfd4:log:234,0x92eae74e366920208608fd9e881500d310495b61dbc4f3d0c51a13bbfd25dfd4,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.2E-7,WBTC,erc20
0x2fde286,0xcb51202c6bf1c3353ddf305647252d5e266ad0729140f19a4f6645030e35153b:log:236,0xcb51202c6bf1c3353ddf305647252d5e266ad0729140f19a4f6645030e35153b,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.8E-7,WBTC,erc20
