blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2e92ead,0xda19dcc49da7077e5a767f7af7647a6a767da62c894bddb48e737a1084b9c302:log:410,0xda19dcc49da7077e5a767f7af7647a6a767da62c894bddb48e737a1084b9c302,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.093856,USDT,erc20
0x2e952ff,0x8293ed4b27021043d0fe81280d4d81c1e6fe35336f41aefee6b274be02c9989d:log:570,0x8293ed4b27021043d0fe81280d4d81c1e6fe35336f41aefee6b274be02c9989d,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.261795,USDT,erc20
0x2e9812c,0xf7495f2adc4aef6c4f63a97e9895285a0e0aeded332dbbe6bfd375e21c7234f4:log:1216,0xf7495f2adc4aef6c4f63a97e9895285a0e0aeded332dbbe6bfd375e21c7234f4,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.15860236329818378,EURA,erc20
0x2e9853b,0xb2570c1d5ad99adad8d88db2c1607ba55c9eaab25e867c942fa19b35f42f5fab:log:191,0xb2570c1d5ad99adad8d88db2c1607ba55c9eaab25e867c942fa19b35f42f5fab,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.19659,USDT,erc20
0x2ea1e30,0xb11e64071808556762a66aa027f1f51f25ea5d4035ab1992c6e15f148599df37:log:240,0xb11e64071808556762a66aa027f1f51f25ea5d4035ab1992c6e15f148599df37,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.099314,USDT,erc20
0x2ea2965,0xceb935f423c19893e99de250e09d104fcb5698be8cd816fff099bcf778aa88c2:log:933,0xceb935f423c19893e99de250e09d104fcb5698be8cd816fff099bcf778aa88c2,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.088633,USDT,erc20
0x2ea4a83,0xdf5cb40fd3c330ce93de4e2afc3872a3e19b80b04b68fd5114ef16587c35ed1c:log:163,0xdf5cb40fd3c330ce93de4e2afc3872a3e19b80b04b68fd5114ef16587c35ed1c,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.083514,USDT,erc20
0x2ea55dc,0xde29b82fb7d1437ff0542781eea489356f75c799c35ac0e8bdcc015afdd22b26:log:298,0xde29b82fb7d1437ff0542781eea489356f75c799c35ac0e8bdcc015afdd22b26,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.078328,USDT,erc20
0x2eab922,0x0b22e9311df27760dc953f9deed44d2c2222b510d0ab8cd2267f373748d272f4:log:97,0x0b22e9311df27760dc953f9deed44d2c2222b510d0ab8cd2267f373748d272f4,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.182867,USDC,erc20
0x2eab9f4,0x52c592702432282bbd89b0df1b7e7dbe2aa43ac3bff17d9ffabbf1b3622eabb9:log:566,0x52c592702432282bbd89b0df1b7e7dbe2aa43ac3bff17d9ffabbf1b3622eabb9,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.01585,USDT,erc20
0x2ead5f0,0x0412e370c1f96f418176707eb2270fefc1db1365201afff381dd9a407f56553a:log:257,0x0412e370c1f96f418176707eb2270fefc1db1365201afff381dd9a407f56553a,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.07308,USDT,erc20
0x2eadcdc,0xe395619456f7a54a9bb9feb9212651973fed73fb695b14191767cbd5c652149f:log:300,0xe395619456f7a54a9bb9feb9212651973fed73fb695b14191767cbd5c652149f,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.067972,USDT,erc20
