blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2eb8da9,0x206fe80f807e7a0807ebf05e3fc7cf1cd9b8b39b075029c41f53596557aebafb:log:359,0x206fe80f807e7a0807ebf05e3fc7cf1cd9b8b39b075029c41f53596557aebafb,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1E-7,WBTC,erc20
0x2ec4655,0xe71478bb75ee2b879e431d709d3036a6b0d2d657c62aca1582bc9daa7f4b43fb:log:12,0xe71478bb75ee2b879e431d709d3036a6b0d2d657c62aca1582bc9daa7f4b43fb,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.4E-7,WBTC,erc20
0x2ec4762,0x3d2e27c68241ac9d40cb97db9813d5c1b5120c86c481bd77786f103a4026063b:log:63,0x3d2e27c68241ac9d40cb97db9813d5c1b5120c86c481bd77786f103a4026063b,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4.4E-7,WBTC,erc20
0x2ecb8e8,0xb3bec82f9aadfaa5a471e08d3f8c16dc564030ab49a84f86f429d675066ba419:log:123,0xb3bec82f9aadfaa5a471e08d3f8c16dc564030ab49a84f86f429d675066ba419,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4E-8,WBTC,erc20
0x2ecbd95,0xb8376426d3d051c8f175127b7019fe261b31ff41facd87f08e8f9c229d5d5496:log:79,0xb8376426d3d051c8f175127b7019fe261b31ff41facd87f08e8f9c229d5d5496,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4.9E-7,WBTC,erc20
0x2ecbdb4,0x458ad52db90dd9f8700806b4ddcdfe329560a71b4e581f9402fbb90e9fc8c1c1:log:236,0x458ad52db90dd9f8700806b4ddcdfe329560a71b4e581f9402fbb90e9fc8c1c1,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,5E-8,WBTC,erc20
0x2ecc8f1,0x875d84b7ac1941fb7ab7a2b246656cdcb3f45b57fab351d13cb36a1f83be91f6:log:447,0x875d84b7ac1941fb7ab7a2b246656cdcb3f45b57fab351d13cb36a1f83be91f6,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,3.5E-7,WBTC,erc20
0x2ecdcc3,0x4363f60645a33d2b46775560e772bb78316850da943c73df8fec70f5df52d4ed:log:490,0x4363f60645a33d2b46775560e772bb78316850da943c73df8fec70f5df52d4ed,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4.4E-7,WBTC,erc20
0x2ecdfb2,0x9f7ae068f1d4ecd7afffbe6a784ef0d7e5aed75da2d3d94a3df22471aa964ce4:log:447,0x9f7ae068f1d4ecd7afffbe6a784ef0d7e5aed75da2d3d94a3df22471aa964ce4,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,5E-8,WBTC,erc20
0x2ece010,0x0d505571a9134eeee25e4d936e497529c287879c61fdf1d158b3bc9eadb3ca75:log:723,0x0d505571a9134eeee25e4d936e497529c287879c61fdf1d158b3bc9eadb3ca75,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,8.6E-7,WBTC,erc20
0x2ed1614,0xad3ca25debb70e01b941d01116e1b9a51bb4df03fbb75eb915bf3f3e8a21a89f:log:247,0xad3ca25debb70e01b941d01116e1b9a51bb4df03fbb75eb915bf3f3e8a21a89f,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,6E-8,WBTC,erc20
0x2ed31a2,0x6735afe5c3aaf89bcad2438f8d905e31c5c7b49d05531079e20fb2d49394ec3b:log:346,0x6735afe5c3aaf89bcad2438f8d905e31c5c7b49d05531079e20fb2d49394ec3b,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.006863,USDT,erc20
