blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2e93268,0xe32bd2bc722612ee5c9cd8231ebdfea059cd9bcd800bda51016b69124cb7787d:log:549,0xe32bd2bc722612ee5c9cd8231ebdfea059cd9bcd800bda51016b69124cb7787d,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00004582,WBTC,erc20
0x2e9350b,0xa38bf4961a305264ac968547102b6339a466257fdb18bca1fb31845364fb5bbb:log:189,0xa38bf4961a305264ac968547102b6339a466257fdb18bca1fb31845364fb5bbb,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00021517,WBTC,erc20
0x2e93c4f,0xbd505a29b0b25f59bfd8b47c1dc6681fc4d8374d733983b4c66ab8411dd7463a:log:449,0xbd505a29b0b25f59bfd8b47c1dc6681fc4d8374d733983b4c66ab8411dd7463a,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00002629,WBTC,erc20
0x2e93cc5,0x855f77af9b8acdcf251db1512868165070e6d47e5b0674945ea3d4172866d80a:log:437,0x855f77af9b8acdcf251db1512868165070e6d47e5b0674945ea3d4172866d80a,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,5.2E-7,WBTC,erc20
0x2e93cc8,0xa0be819f7d039497f4fd9444a2a409c2f94cee7988f737fd4b13b00a59e95baa:log:103,0xa0be819f7d039497f4fd9444a2a409c2f94cee7988f737fd4b13b00a59e95baa,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000637,WBTC,erc20
0x2e93cfb,0xb1dc03af4cc9c7da2cf6a371dcff84b91de42f5f4586e7349a6a20c1531995fd:log:172,0xb1dc03af4cc9c7da2cf6a371dcff84b91de42f5f4586e7349a6a20c1531995fd,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00012663,WBTC,erc20
0x2e95d01,0x102515522ef5ad1ddec21ad0e7aaf6c2fb8398f12e69971787857681fe22fe94:log:642,0x102515522ef5ad1ddec21ad0e7aaf6c2fb8398f12e69971787857681fe22fe94,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00010844,WBTC,erc20
0x2e9ec45,0x2adeaf27a46ad19554df5547b9546cffe3e4beec7dbece8ba0a71898c52adad4:log:231,0x2adeaf27a46ad19554df5547b9546cffe3e4beec7dbece8ba0a71898c52adad4,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00005282,WBTC,erc20
0x2ea4c3a,0x7dcbd27de25a15743f81beedf387f0a25d1c7f8c7292808c76c5f0413b5734d3:log:240,0x7dcbd27de25a15743f81beedf387f0a25d1c7f8c7292808c76c5f0413b5734d3,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000208,WBTC,erc20
0x2ea5cc7,0xdd90f45803f57b006ad8ddf49e058411cc1e4c3e06b5bac211a91671caa50491:log:135,0xdd90f45803f57b006ad8ddf49e058411cc1e4c3e06b5bac211a91671caa50491,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,5E-8,WBTC,erc20
