blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2e925e2,0x15133fcc8ecf21d91596c3b969d8534365e8af471bfd7043aaec8246f70291b3:log:229,0x15133fcc8ecf21d91596c3b969d8534365e8af471bfd7043aaec8246f70291b3,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.465987,USDT,erc20
0x2e93a19,0xc9110927bbd6fcda2ee40bb48f2432a543ffa5e5f782d2c9ccabccf0a095a6ef:log:218,0xc9110927bbd6fcda2ee40bb48f2432a543ffa5e5f782d2c9ccabccf0a095a6ef,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,7.005622,USDT,erc20
0x2e943bc,0xe37f8db833efb83c7e42f0142d28154f45fd6092e20a1f7660cf8e2fa301b0f1:log:137,0xe37f8db833efb83c7e42f0142d28154f45fd6092e20a1f7660cf8e2fa301b0f1,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.0000014,WBTC,erc20
0x2e94980,0xd7b5af5d70d518d61e3a99294b541c48728fc8b56062b3af824b2b8877030c7e:log:171,0xd7b5af5d70d518d61e3a99294b541c48728fc8b56062b3af824b2b8877030c7e,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.033779,USDT,erc20
0x2e95006,0xda5ce97b3411237fd97a0fd0900b8e76a22eb1620d6bf0a4ba42702962651c84:log:304,0xda5ce97b3411237fd97a0fd0900b8e76a22eb1620d6bf0a4ba42702962651c84,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.0000954,WETH,erc20
0x2e9a45d,0xc8fb7d9c501ea7b060b4765459f35cd73f191e82b6aaf2ea49c2dafc12ff86ae:log:270,0xc8fb7d9c501ea7b060b4765459f35cd73f191e82b6aaf2ea49c2dafc12ff86ae,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.01614,USDT,erc20
0x2e9b0c6,0xc43f0870e0485c36e2c0f50b77fb6f2614f63f6829144db329741df2678147e6:log:731,0xc43f0870e0485c36e2c0f50b77fb6f2614f63f6829144db329741df2678147e6,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.094056,USDT,erc20
0x2e9b9e3,0x03ab097fcd6238722394c220c345d9000bc259402c27816ac03bb08fe5540da4:log:239,0x03ab097fcd6238722394c220c345d9000bc259402c27816ac03bb08fe5540da4,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.551733,USDT,erc20
0x2e9bdbd,0xa551b7d06743a04203fa11bbf506493e2ed8b96fdc6c4843853652a052149a90:log:199,0xa551b7d06743a04203fa11bbf506493e2ed8b96fdc6c4843853652a052149a90,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.003,WETH,erc20
0x2e9bfd4,0x816a2f864acf40e8b33f6b065c8b6b32c05001c2f5e4f266c98f3d9da5f4acbe:log:149,0x816a2f864acf40e8b33f6b065c8b6b32c05001c2f5e4f266c98f3d9da5f4acbe,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.101104,USDT,erc20
0x2e9d4dc,0xca1dafe4a37eb7b32eeab4476d295eb5efe2cab364bcbe8fb91e48baca42bbaf:log:144,0xca1dafe4a37eb7b32eeab4476d295eb5efe2cab364bcbe8fb91e48baca42bbaf,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.116829,USDT,erc20
0x2e9ddd5,0x8181446e624677e7a38cfd9f4f9e3d31e1fd661beb094956d5252b06078db2eb:log:119,0x8181446e624677e7a38cfd9f4f9e3d31e1fd661beb094956d5252b06078db2eb,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.000375,WETH,erc20
0x2ea111e,0x377b3da72fc404258b3e9a6af587ef1c8dc2b6945200ad802929107fe3978dcb:log:145,0x377b3da72fc404258b3e9a6af587ef1c8dc2b6945200ad802929107fe3978dcb,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.084251,USDT,erc20
