blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2e92789,0x9bdedd2d53a260d328f2ed960ccf5e17760e9c93f52dfdc4a082cce94d743393:log:569,0x9bdedd2d53a260d328f2ed960ccf5e17760e9c93f52dfdc4a082cce94d743393,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.001492,USDT,erc20
0x2e9290b,0x6bfffa10df488e54b4eca5ad56632377724d935496da213e0a7ad8045e033c37:log:634,0x6bfffa10df488e54b4eca5ad56632377724d935496da213e0a7ad8045e033c37,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.003101,USDT,erc20
0x2e92f30,0xb6491bb5b9a32752d7b3454a98ffc370b01d09f52de427c6aa21bf57203fd1fd:log:380,0xb6491bb5b9a32752d7b3454a98ffc370b01d09f52de427c6aa21bf57203fd1fd,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.011519,USDT,erc20
0x2e930e1,0x6c7399309783e140cf76853e8d76cfc5696440732c05b0bf33e62c91601460cc:log:334,0x6c7399309783e140cf76853e8d76cfc5696440732c05b0bf33e62c91601460cc,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,6.3E-7,WBTC,erc20
0x2e96c2b,0x7dc533d03700940926bebb66bca69faf1a8cee5552dfd97493bdd88e28a67e79:log:640,0x7dc533d03700940926bebb66bca69faf1a8cee5552dfd97493bdd88e28a67e79,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,5.2E-7,WBTC,erc20
0x2e99121,0xdf06e37293de5a938b4dfc481135c1cfbbd3caa138daea72759038e02f5011f1:log:745,0xdf06e37293de5a938b4dfc481135c1cfbbd3caa138daea72759038e02f5011f1,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.5E-7,WBTC,erc20
0x2e9a61d,0x589ee9e94fb3b6d5d1069a83cbe5dd78ae338c8bdce728da1d2a81ba5568a96f:log:202,0x589ee9e94fb3b6d5d1069a83cbe5dd78ae338c8bdce728da1d2a81ba5568a96f,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.15,USDT,erc20
0x2e9a96c,0xd8966d13556a23fdca3f5b8968cf6ad1574f14a53f0adeaf2dd257a92db89f0f:log:200,0xd8966d13556a23fdca3f5b8968cf6ad1574f14a53f0adeaf2dd257a92db89f0f,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4.7E-7,WBTC,erc20
0x2e9b6d5,0x01862aa7f6e6e1b9100cd8a1418fdb5aa16e1e1fc5e832add723c1a68d046dfe:log:172,0x01862aa7f6e6e1b9100cd8a1418fdb5aa16e1e1fc5e832add723c1a68d046dfe,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000264,WBTC,erc20
0x2e9b7c6,0x19a2e480d82779f3bfbb7a1b34291145db4f763220c2624d7d4c74262f339dc0:log:254,0x19a2e480d82779f3bfbb7a1b34291145db4f763220c2624d7d4c74262f339dc0,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00468,USDT,erc20
0x2e9c15b,0x725cf1de264694506e95899cb5f64345c069e5e098d9bf7ce4f1fdfbe8950a16:log:323,0x725cf1de264694506e95899cb5f64345c069e5e098d9bf7ce4f1fdfbe8950a16,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,7.9E-7,WBTC,erc20
0x2e9c4c6,0xbb332c13a47032c5584763c45aeab8aec2f81f5dd98c5512589ddb6844860502:log:437,0xbb332c13a47032c5584763c45aeab8aec2f81f5dd98c5512589ddb6844860502,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.011887,USDT,erc20
