blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2e93b21,0xff047eaffbe8f6202e7fe9d47b13797bcd5c1489baca00a3519e6c2edf12f18c:log:616,0xff047eaffbe8f6202e7fe9d47b13797bcd5c1489baca00a3519e6c2edf12f18c,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2E-8,WBTC,erc20
0x2ea32cd,0x6496874215c3e138faee5e51f6eb4cc79c91f022a2832689657c7f36afb390d4:log:695,0x6496874215c3e138faee5e51f6eb4cc79c91f022a2832689657c7f36afb390d4,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,5E-8,WBTC,erc20
0x2eabe66,0xa60bff83bd194098fb0cd889a9cf9293a424b0f7c3dbf0ce2eca89575ca75030:log:766,0xa60bff83bd194098fb0cd889a9cf9293a424b0f7c3dbf0ce2eca89575ca75030,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000436,WBTC,erc20
0x2eac8a4,0x4b2ce5ebd530b8db9a9997ea8ca6c242ebe51fa40319ed2cf4970e78e410c14d:log:215,0x4b2ce5ebd530b8db9a9997ea8ca6c242ebe51fa40319ed2cf4970e78e410c14d,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,3E-8,WBTC,erc20
0x2ebc117,0xbfb9585586a4c49cc17223cbf92f52836c36f32eb1d3cd62ad85af252a1b3dbf:log:239,0xbfb9585586a4c49cc17223cbf92f52836c36f32eb1d3cd62ad85af252a1b3dbf,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2E-8,WBTC,erc20
0x2f18cb0,0xbbcfbd8523d3fa176ef30902f696f7677e5ecacbe4349bff1014536cd7ab6525:log:273,0xbbcfbd8523d3fa176ef30902f696f7677e5ecacbe4349bff1014536cd7ab6525,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,5.7E-7,WBTC,erc20
0x2f25542,0x6a4937b351d86c2c1dafd5f7f403336f477522c66b204b8623ac7bfc3a2497f2:log:317,0x6a4937b351d86c2c1dafd5f7f403336f477522c66b204b8623ac7bfc3a2497f2,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,3E-8,WBTC,erc20
0x2f33d3e,0xa86854f6970eefd0be09330b1ec26440a89df83ac4f11d8e314b0c3157aedccd:log:265,0xa86854f6970eefd0be09330b1ec26440a89df83ac4f11d8e314b0c3157aedccd,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00030752626962575,DAI,erc20
0x2f33ed6,0x2ee4a5bd59c4a87bd73cade764af33396c58b12bda630e8ba829de1c618ee686:log:147,0x2ee4a5bd59c4a87bd73cade764af33396c58b12bda630e8ba829de1c618ee686,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2.1E-7,WBTC,erc20
0x2f36e24,0x8838aacef4bfffd3158227ad1d993c0b88e84c5f077e56aa16b5161073fc01b7:log:35,0x8838aacef4bfffd3158227ad1d993c0b88e84c5f077e56aa16b5161073fc01b7,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2.1E-7,WBTC,erc20
