blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2f6996b,0x11808a7e61a75e1b8a847acaa21d7247d4a84b9bd827449f5e3cadf18fb7d0ef:log:164,0x11808a7e61a75e1b8a847acaa21d7247d4a84b9bd827449f5e3cadf18fb7d0ef,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,6.3E-7,WBTC,erc20
0x2f96611,0x82d10fd93eff0d415ca0ed087daaddea3b884e51d1be801d883bb5a327f1e11b:log:394,0x82d10fd93eff0d415ca0ed087daaddea3b884e51d1be801d883bb5a327f1e11b,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4E-7,WBTC,erc20
0x2fa0348,0x79c4a8607681983d47f8c85053067ac7cf40edb7b4cf69c52900de436852db28:log:337,0x79c4a8607681983d47f8c85053067ac7cf40edb7b4cf69c52900de436852db28,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4.3E-7,WBTC,erc20
0x2faac82,0x140842bf85a2fb71b0737701a233d027971dad2cf6a796e0337363340f657136:log:285,0x140842bf85a2fb71b0737701a233d027971dad2cf6a796e0337363340f657136,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000156,WBTC,erc20
0x2facad8,0xe7370721065d02b9c2f5ee149c1d1b523227b57eb0ef91e8daddf4688e92f183:log:355,0xe7370721065d02b9c2f5ee149c1d1b523227b57eb0ef91e8daddf4688e92f183,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,8.3E-7,WBTC,erc20
0x2fb33c4,0xdb88b06609c66aca049eb39a65713fa8a3ceb1bb31dc15afa18af5561392dfdf:log:342,0xdb88b06609c66aca049eb39a65713fa8a3ceb1bb31dc15afa18af5561392dfdf,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,4.9E-7,WBTC,erc20
0x2fb3814,0x74170f3458256d2e03c464ba8fbd2ff4b548645014826ab4a9310bd85ad2f395:log:387,0x74170f3458256d2e03c464ba8fbd2ff4b548645014826ab4a9310bd85ad2f395,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000392,WBTC,erc20
0x2fb3d5c,0x77ed82cd7205e41f3310c2e56f23b38cda7b3e329622ae12e9c520933f72b20e:log:721,0x77ed82cd7205e41f3310c2e56f23b38cda7b3e329622ae12e9c520933f72b20e,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000192,WBTC,erc20
0x2fbc72f,0xa49c17d66f9ced4767566f634f52d6fdc93b47449c66720fffab89c5baf9b546:log:192,0xa49c17d66f9ced4767566f634f52d6fdc93b47449c66720fffab89c5baf9b546,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,1.4E-7,WBTC,erc20
0x2fbd314,0x44c0980d86fd2b2adc41ef0ecc72f7eff18e0b59bd4cbc1aef7c112aa29d8b67:log:5569,0x44c0980d86fd2b2adc41ef0ecc72f7eff18e0b59bd4cbc1aef7c112aa29d8b67,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,5.3E-7,WBTC,erc20
